"homework","submissions","average_points","median_points","fully_correct","below_full_credit","fully_correct_percent","score_0","score_0_5","score_1","score_1_5","score_2","score_2_5","score_3","score_3_5","score_4"
"du01_1","140","3.796","4","111","29","79.3","1","0","0","0","1","4","10","13","111"
"du01_2","129","3.500","4","78","51","60.5","2","0","0","1","14","4","10","20","78"
"du02_1","144","3.858","4","118","26","81.9","0","0","0","0","0","0","15","11","118"
"du02_2","137","3.697","4","96","41","70.1","0","0","0","0","1","5","29","6","96"
"du03_1","126","3.893","4","109","17","86.5","0","0","0","0","1","2","3","11","109"
"du03_2","125","3.452","3.5","55","70","44.0","0","0","1","1","7","12","13","36","55"
"du04_1","138","3.851","4","108","30","78.3","0","0","0","0","1","2","4","23","108"
"du04_2","129","3.880","4","114","15","88.4","1","0","0","0","0","4","1","9","114"
"du05_1","134","3.791","4","106","28","79.1","0","0","1","1","0","1","17","8","106"
"du05_2","133","3.959","4","130","3","97.7","1","0","0","0","0","0","1","1","130"
"du06_1","133","3.857","4","111","22","83.5","0","0","0","0","0","0","16","6","111"
"du06_2","126","3.837","4","111","15","88.1","0","0","1","1","2","1","9","1","111"
"du07_1","94","3.532","4","67","27","71.3","0","0","4","2","7","3","6","5","67"
"du07_2","103","3.840","4","92","11","89.3","1","0","0","0","3","3","0","4","92"
"du08_1","55","3.655","4","36","19","65.5","0","0","0","1","0","7","1","10","36"
"du08_2","59","3.254","4","31","28","52.5","0","0","5","2","3","4","10","4","31"
"du09_1","42","3.083","3","3","39","7.1","0","0","1","1","2","2","19","14","3"
"du09_2","23","3.217","3.5","6","17","26.1","0","0","0","1","2","2","5","7","6"
"du10_1","29","3.897","4","23","6","79.3","0","0","0","0","0","0","0","6","23"
"du10_2","35","3.743","4","23","12","65.7","0","0","0","0","0","2","2","8","23"
"du11_1","19","3.842","4","16","3","84.2","0","0","0","0","0","0","3","0","16"
"du11_2","11","3.818","4","9","2","81.8","0","0","0","0","0","0","2","0","9"
"ALL","2064","3.737","4","1553","511","75.2","6","0","13","11","44","58","176","203","1553"
